series_animedb_id,series_title,series_type,series_episodes,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_times_watched,my_priority,my_tags
52034,"""Oshi no Ko""",TV,11,2,0000-00-00,0000-00-00,0,Watching,0,LOW,
40679,2.43: Seiin Koukou Danshi Volley-bu,TV,12,12,1/8/2021,3/25/2021,4,Completed,0,LOW,"2021, preliminary, seasonal"
31646,3-gatsu no Lion,TV,22,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
38101,5-toubun no Hanayome,TV,12,12,0000-00-00,0000-00-00,8,Completed,1,LOW,"covid2020, rewatch, favorites"
39783,5-toubun no Hanayome ∬,TV,12,12,0000-00-00,3/25/2021,9,Completed,0,HIGH,"hype, 2021, preliminary, favorites, top10"
48548,5-toubun no Hanayome Movie,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
41457,86,TV,11,11,4/11/2021,6/19/2021,5,Completed,0,LOW,"2021, seasonal, preliminary"
39790,Adachi to Shimamura,TV,12,12,10/9/2020,12/25/2020,6,Completed,0,LOW,"covid2020, preliminary, seasonal"
49520,Aharen-san wa Hakarenai,TV,12,2,4/3/2022,0000-00-00,6,Dropped,0,LOW,
34881,Aho Girl,TV,12,2,0000-00-00,0000-00-00,2,Dropped,0,LOW,covid2020
42847,Ai no Utagoe wo Kikasete,Movie,1,1,0000-00-00,7/24/2022,7,Completed,0,LOW,
22199,Akame ga Kill!,TV,24,24,0000-00-00,0000-00-00,6,Completed,0,LOW,
48553,Akebi-chan no Sailor-fuku,TV,12,12,0000-00-00,3/27/2022,7,Completed,0,LOW,
41433,Akudama Drive,TV,12,12,11/22/2020,12/25/2020,6,Completed,0,LOW,"covid2020, r/animeawards2020-2021, preliminary, c/script, seasonal"
6547,Angel Beats!,TV,13,13,0000-00-00,0000-00-00,8,Completed,0,LOW,"covid2020, binge"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,11,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
24833,Ansatsu Kyoushitsu,TV,22,15,0000-00-00,0000-00-00,7,Plan to Watch,0,LOW,
21995,Ao Haru Ride,TV,12,12,7/17/2021,7/22/2021,5,Completed,0,LOW,"2021, binge"
38753,Araburu Kisetsu no Otome-domo yo.,TV,12,12,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
36214,Asagao to Kase-san.,OVA,1,1,0000-00-00,0000-00-00,9,Completed,1,LOW,covid2020
37171,Asobi Asobase,TV,12,12,8/10/2021,8/18/2021,7,Completed,0,LOW,"2021, binge"
39195,Beastars,TV,12,5,0000-00-00,0000-00-00,4,Dropped,0,LOW,covid2020
34618,Blend S,TV,12,12,0000-00-00,0000-00-00,7,Completed,1,LOW,"covid2020, rewatch"
49596,Blue Lock,TV,24,12,11/24/2022,0000-00-00,9,Watching,0,LOW,
46352,Blue Period,TV,12,3,9/30/2021,0000-00-00,7,Dropped,0,LOW,"seasonal, 2021, preliminary"
40060,BNA,TV,12,12,0000-00-00,1/16/2021,7,Completed,0,LOW,"r/animeawards2020-2021, c/animation, 2021, binge"
47917,Bocchi the Rock!,TV,12,0,0000-00-00,0000-00-00,7,Watching,0,LOW,
31043,Boku dake ga Inai Machi,TV,12,12,0000-00-00,0000-00-00,7,Completed,1,LOW,rewatch
31964,Boku no Hero Academia,TV,13,13,0000-00-00,0000-00-00,7,Completed,0,LOW,
33486,Boku no Hero Academia 2nd Season,TV,25,25,0000-00-00,0000-00-00,8,Completed,0,LOW,
36456,Boku no Hero Academia 3rd Season,TV,25,25,0000-00-00,0000-00-00,8,Completed,0,LOW,
38408,Boku no Hero Academia 4th Season,TV,25,25,0000-00-00,0000-00-00,8,Completed,0,LOW,preliminary
41587,Boku no Hero Academia 5th Season,TV,25,25,5/27/2021,9/25/2021,7,Completed,0,MEDIUM,"2021, preliminary"
36896,Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1,1,0000-00-00,0000-00-00,7,Completed,0,LOW,covid2020
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,1,1,0000-00-00,0000-00-00,9,Completed,0,LOW,covid2020
44200,Boku no Hero Academia the Movie 3: World Heroes' Mission,Movie,1,1,0000-00-00,3/16/2022,4,Completed,0,LOW,
42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,ONA,2,2,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
35712,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,TV,10,10,0000-00-00,0000-00-00,2,Completed,0,LOW,covid2020
36560,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,OVA,1,1,0000-00-00,0000-00-00,1,Completed,0,LOW,covid2020
1639,Boku no Pico,OVA,1,1,0000-00-00,0000-00-00,1,Dropped,0,LOW,
40904,Bokutachi no Remake,TV,12,12,7/3/2021,9/25/2021,4,Completed,0,LOW,"2021, seasonal, preliminary"
34566,Boruto: Naruto Next Generations,TV,293,72,0000-00-00,0000-00-00,5,Dropped,0,LOW,
53411,Buddy Daddies,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
31478,Bungou Stray Dogs,TV,12,12,4/28/2021,5/5/2021,7,Completed,0,LOW,"2021, binge"
1689,Byousoku 5 Centimeter,Movie,3,3,0000-00-00,11/16/2020,4,Completed,0,LOW,
10012,Carnival Phantasm,OVA,12,12,0000-00-00,11/6/2020,9,Completed,0,LOW,"covid2020, binge"
44511,Chainsaw Man,TV,12,12,11/24/2022,0000-00-00,9,Completed,0,LOW,hype
28999,Charlotte,TV,13,3,0000-00-00,0000-00-00,6,Dropped,0,LOW,covid2020
37379,Chihayafuru 3,TV,24,24,0000-00-00,0000-00-00,7,Completed,0,LOW,"r/animeawards2020-2021, c/script, c/cast, 2021, binge"
47398,Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,ONA,4,4,0000-00-00,0000-00-00,5,Completed,0,LOW,
14741,Chuunibyou demo Koi ga Shitai!,TV,12,12,0000-00-00,0000-00-00,8,Completed,0,LOW,"covid2020, binge"
16934,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,Special,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,1,0000-00-00,0000-00-00,8,Completed,0,LOW,covid2020
18671,Chuunibyou demo Koi ga Shitai! Ren,TV,12,12,0000-00-00,0000-00-00,7,Completed,0,LOW,covid2020
39175,Cider no You ni Kotoba ga Wakiagaru,Movie,1,1,0000-00-00,7/24/2022,7,Completed,0,LOW,
34382,Citrus,TV,12,12,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
2167,Clannad,TV,23,23,0000-00-00,10/25/2020,4,Completed,0,LOW,"binge, covid2020"
4181,Clannad: After Story,TV,24,24,3/29/2021,0000-00-00,8,Completed,0,LOW,"2021,"
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,2021
1575,Code Geass: Hangyaku no Lelouch,TV,25,25,0000-00-00,0000-00-00,8,Completed,0,LOW,"2021, binge"
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
39681,D4DJ First Mix,TV,13,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
